Notes,Census Region,Census Region Code,Year,Year Code,Age of Mother Year,Age of Mother Year Code,Births
,Census Region 1: Northeast,CENS-R1,2009,2009,14 years,14,434
,Census Region 1: Northeast,CENS-R1,2009,2009,15 years,15,1709
,Census Region 1: Northeast,CENS-R1,2009,2009,16 years,16,4041
,Census Region 1: Northeast,CENS-R1,2009,2009,17 years,17,7720
,Census Region 1: Northeast,CENS-R1,2009,2009,18 years,18,13008
,Census Region 1: Northeast,CENS-R1,2009,2009,19 years,19,19429
,Census Region 1: Northeast,CENS-R1,2009,2009,20 years,20,23079
,Census Region 1: Northeast,CENS-R1,2009,2009,21 years,21,24517
,Census Region 1: Northeast,CENS-R1,2009,2009,22 years,22,26380
,Census Region 1: Northeast,CENS-R1,2009,2009,23 years,23,27486
,Census Region 1: Northeast,CENS-R1,2009,2009,24 years,24,28715
,Census Region 1: Northeast,CENS-R1,2009,2009,25 years,25,30553
,Census Region 1: Northeast,CENS-R1,2009,2009,26 years,26,33200
,Census Region 1: Northeast,CENS-R1,2009,2009,27 years,27,35915
,Census Region 1: Northeast,CENS-R1,2009,2009,28 years,28,37985
,Census Region 1: Northeast,CENS-R1,2009,2009,29 years,29,39976
,Census Region 1: Northeast,CENS-R1,2009,2009,30 years,30,40769
,Census Region 1: Northeast,CENS-R1,2009,2009,31 years,31,39832
,Census Region 1: Northeast,CENS-R1,2009,2009,32 years,32,37569
,Census Region 1: Northeast,CENS-R1,2009,2009,33 years,33,33843
,Census Region 1: Northeast,CENS-R1,2009,2009,34 years,34,30874
,Census Region 1: Northeast,CENS-R1,2009,2009,35 years,35,27036
,Census Region 1: Northeast,CENS-R1,2009,2009,36 years,36,23284
,Census Region 1: Northeast,CENS-R1,2009,2009,37 years,37,19893
,Census Region 1: Northeast,CENS-R1,2009,2009,38 years,38,16717
,Census Region 1: Northeast,CENS-R1,2009,2009,39 years,39,13131
,Census Region 1: Northeast,CENS-R1,2009,2009,40 years,40,9620
,Census Region 1: Northeast,CENS-R1,2009,2009,41 years,41,6342
,Census Region 1: Northeast,CENS-R1,2009,2009,42 years,42,4157
,Census Region 1: Northeast,CENS-R1,2009,2009,43 years,43,2505
,Census Region 1: Northeast,CENS-R1,2009,2009,44 years,44,1491
,Census Region 1: Northeast,CENS-R1,2009,2009,45 years,45,807
,Census Region 1: Northeast,CENS-R1,2009,2009,46 years,46,440
,Census Region 1: Northeast,CENS-R1,2009,2009,47 years,47,260
,Census Region 1: Northeast,CENS-R1,2009,2009,48 years,48,140
,Census Region 1: Northeast,CENS-R1,2009,2009,49 years,49,106
,Census Region 1: Northeast,CENS-R1,2010,2010,13 years,13,71
,Census Region 1: Northeast,CENS-R1,2010,2010,14 years,14,405
,Census Region 1: Northeast,CENS-R1,2010,2010,15 years,15,1502
,Census Region 1: Northeast,CENS-R1,2010,2010,16 years,16,3696
,Census Region 1: Northeast,CENS-R1,2010,2010,17 years,17,6952
,Census Region 1: Northeast,CENS-R1,2010,2010,18 years,18,11728
,Census Region 1: Northeast,CENS-R1,2010,2010,19 years,19,18114
,Census Region 1: Northeast,CENS-R1,2010,2010,20 years,20,21812
,Census Region 1: Northeast,CENS-R1,2010,2010,21 years,21,23117
,Census Region 1: Northeast,CENS-R1,2010,2010,22 years,22,25488
,Census Region 1: Northeast,CENS-R1,2010,2010,23 years,23,26391
,Census Region 1: Northeast,CENS-R1,2010,2010,24 years,24,28265
,Census Region 1: Northeast,CENS-R1,2010,2010,25 years,25,29963
,Census Region 1: Northeast,CENS-R1,2010,2010,26 years,26,31984
,Census Region 1: Northeast,CENS-R1,2010,2010,27 years,27,34657
,Census Region 1: Northeast,CENS-R1,2010,2010,28 years,28,37007
,Census Region 1: Northeast,CENS-R1,2010,2010,29 years,29,39354
,Census Region 1: Northeast,CENS-R1,2010,2010,30 years,30,40762
,Census Region 1: Northeast,CENS-R1,2010,2010,31 years,31,40150
,Census Region 1: Northeast,CENS-R1,2010,2010,32 years,32,37571
,Census Region 1: Northeast,CENS-R1,2010,2010,33 years,33,34798
,Census Region 1: Northeast,CENS-R1,2010,2010,34 years,34,30835
,Census Region 1: Northeast,CENS-R1,2010,2010,35 years,35,27523
,Census Region 1: Northeast,CENS-R1,2010,2010,36 years,36,22850
,Census Region 1: Northeast,CENS-R1,2010,2010,37 years,37,18577
,Census Region 1: Northeast,CENS-R1,2010,2010,38 years,38,15897
,Census Region 1: Northeast,CENS-R1,2010,2010,39 years,39,13105
,Census Region 1: Northeast,CENS-R1,2010,2010,40 years,40,9404
,Census Region 1: Northeast,CENS-R1,2010,2010,41 years,41,6538
,Census Region 1: Northeast,CENS-R1,2010,2010,42 years,42,4183
,Census Region 1: Northeast,CENS-R1,2010,2010,43 years,43,2467
,Census Region 1: Northeast,CENS-R1,2010,2010,44 years,44,1384
,Census Region 1: Northeast,CENS-R1,2010,2010,45 years,45,828
,Census Region 1: Northeast,CENS-R1,2010,2010,46 years,46,417
,Census Region 1: Northeast,CENS-R1,2010,2010,47 years,47,235
,Census Region 1: Northeast,CENS-R1,2010,2010,48 years,48,164
,Census Region 1: Northeast,CENS-R1,2010,2010,49 years,49,82
,Census Region 1: Northeast,CENS-R1,2011,2011,13 years,13,69
,Census Region 1: Northeast,CENS-R1,2011,2011,14 years,14,376
,Census Region 1: Northeast,CENS-R1,2011,2011,15 years,15,1266
,Census Region 1: Northeast,CENS-R1,2011,2011,16 years,16,3267
,Census Region 1: Northeast,CENS-R1,2011,2011,17 years,17,6248
,Census Region 1: Northeast,CENS-R1,2011,2011,18 years,18,10655
,Census Region 1: Northeast,CENS-R1,2011,2011,19 years,19,16656
,Census Region 1: Northeast,CENS-R1,2011,2011,20 years,20,20624
,Census Region 1: Northeast,CENS-R1,2011,2011,21 years,21,22860
,Census Region 1: Northeast,CENS-R1,2011,2011,22 years,22,24845
,Census Region 1: Northeast,CENS-R1,2011,2011,23 years,23,26154
,Census Region 1: Northeast,CENS-R1,2011,2011,24 years,24,27381
,Census Region 1: Northeast,CENS-R1,2011,2011,25 years,25,29928
,Census Region 1: Northeast,CENS-R1,2011,2011,26 years,26,31897
,Census Region 1: Northeast,CENS-R1,2011,2011,27 years,27,34272
,Census Region 1: Northeast,CENS-R1,2011,2011,28 years,28,37544
,Census Region 1: Northeast,CENS-R1,2011,2011,29 years,29,40049
,Census Region 1: Northeast,CENS-R1,2011,2011,30 years,30,40507
,Census Region 1: Northeast,CENS-R1,2011,2011,31 years,31,40759
,Census Region 1: Northeast,CENS-R1,2011,2011,32 years,32,38548
,Census Region 1: Northeast,CENS-R1,2011,2011,33 years,33,35265
,Census Region 1: Northeast,CENS-R1,2011,2011,34 years,34,31775
,Census Region 1: Northeast,CENS-R1,2011,2011,35 years,35,27320
,Census Region 1: Northeast,CENS-R1,2011,2011,36 years,36,23265
,Census Region 1: Northeast,CENS-R1,2011,2011,37 years,37,19074
,Census Region 1: Northeast,CENS-R1,2011,2011,38 years,38,14939
,Census Region 1: Northeast,CENS-R1,2011,2011,39 years,39,12127
,Census Region 1: Northeast,CENS-R1,2011,2011,40 years,40,9442
,Census Region 1: Northeast,CENS-R1,2011,2011,41 years,41,6439
,Census Region 1: Northeast,CENS-R1,2011,2011,42 years,42,4094
,Census Region 1: Northeast,CENS-R1,2011,2011,43 years,43,2456
,Census Region 1: Northeast,CENS-R1,2011,2011,44 years,44,1391
,Census Region 1: Northeast,CENS-R1,2011,2011,45 years,45,793
,Census Region 1: Northeast,CENS-R1,2011,2011,46 years,46,441
,Census Region 1: Northeast,CENS-R1,2011,2011,47 years,47,224
,Census Region 1: Northeast,CENS-R1,2011,2011,48 years,48,172
,Census Region 1: Northeast,CENS-R1,2011,2011,49 years,49,109
,Census Region 1: Northeast,CENS-R1,2012,2012,13 years,13,72
,Census Region 1: Northeast,CENS-R1,2012,2012,14 years,14,375
,Census Region 1: Northeast,CENS-R1,2012,2012,15 years,15,1285
,Census Region 1: Northeast,CENS-R1,2012,2012,16 years,16,2933
,Census Region 1: Northeast,CENS-R1,2012,2012,17 years,17,5514
,Census Region 1: Northeast,CENS-R1,2012,2012,18 years,18,9823
,Census Region 1: Northeast,CENS-R1,2012,2012,19 years,19,15515
,Census Region 1: Northeast,CENS-R1,2012,2012,20 years,20,19570
,Census Region 1: Northeast,CENS-R1,2012,2012,21 years,21,22039
,Census Region 1: Northeast,CENS-R1,2012,2012,22 years,22,24380
,Census Region 1: Northeast,CENS-R1,2012,2012,23 years,23,25833
,Census Region 1: Northeast,CENS-R1,2012,2012,24 years,24,27652
,Census Region 1: Northeast,CENS-R1,2012,2012,25 years,25,29047
,Census Region 1: Northeast,CENS-R1,2012,2012,26 years,26,31766
,Census Region 1: Northeast,CENS-R1,2012,2012,27 years,27,34182
,Census Region 1: Northeast,CENS-R1,2012,2012,28 years,28,36545
,Census Region 1: Northeast,CENS-R1,2012,2012,29 years,29,39738
,Census Region 1: Northeast,CENS-R1,2012,2012,30 years,30,41360
,Census Region 1: Northeast,CENS-R1,2012,2012,31 years,31,40965
,Census Region 1: Northeast,CENS-R1,2012,2012,32 years,32,38722
,Census Region 1: Northeast,CENS-R1,2012,2012,33 years,33,35701
,Census Region 1: Northeast,CENS-R1,2012,2012,34 years,34,32429
,Census Region 1: Northeast,CENS-R1,2012,2012,35 years,35,28365
,Census Region 1: Northeast,CENS-R1,2012,2012,36 years,36,23025
,Census Region 1: Northeast,CENS-R1,2012,2012,37 years,37,19145
,Census Region 1: Northeast,CENS-R1,2012,2012,38 years,38,15150
,Census Region 1: Northeast,CENS-R1,2012,2012,39 years,39,11849
,Census Region 1: Northeast,CENS-R1,2012,2012,40 years,40,8946
,Census Region 1: Northeast,CENS-R1,2012,2012,41 years,41,6641
,Census Region 1: Northeast,CENS-R1,2012,2012,42 years,42,4316
,Census Region 1: Northeast,CENS-R1,2012,2012,43 years,43,2473
,Census Region 1: Northeast,CENS-R1,2012,2012,44 years,44,1481
,Census Region 1: Northeast,CENS-R1,2012,2012,45 years,45,819
,Census Region 1: Northeast,CENS-R1,2012,2012,46 years,46,434
,Census Region 1: Northeast,CENS-R1,2012,2012,47 years,47,247
,Census Region 1: Northeast,CENS-R1,2012,2012,48 years,48,138
,Census Region 1: Northeast,CENS-R1,2012,2012,49 years,49,93
,Census Region 1: Northeast,CENS-R1,2013,2013,13 years,13,44
,Census Region 1: Northeast,CENS-R1,2013,2013,14 years,14,283
,Census Region 1: Northeast,CENS-R1,2013,2013,15 years,15,1087
,Census Region 1: Northeast,CENS-R1,2013,2013,16 years,16,2438
,Census Region 1: Northeast,CENS-R1,2013,2013,17 years,17,4739
,Census Region 1: Northeast,CENS-R1,2013,2013,18 years,18,8365
,Census Region 1: Northeast,CENS-R1,2013,2013,19 years,19,13917
,Census Region 1: Northeast,CENS-R1,2013,2013,20 years,20,17727
,Census Region 1: Northeast,CENS-R1,2013,2013,21 years,21,20503
,Census Region 1: Northeast,CENS-R1,2013,2013,22 years,22,23244
,Census Region 1: Northeast,CENS-R1,2013,2013,23 years,23,25380
,Census Region 1: Northeast,CENS-R1,2013,2013,24 years,24,26992
,Census Region 1: Northeast,CENS-R1,2013,2013,25 years,25,28790
,Census Region 1: Northeast,CENS-R1,2013,2013,26 years,26,30987
,Census Region 1: Northeast,CENS-R1,2013,2013,27 years,27,33996
,Census Region 1: Northeast,CENS-R1,2013,2013,28 years,28,36342
,Census Region 1: Northeast,CENS-R1,2013,2013,29 years,29,38809
,Census Region 1: Northeast,CENS-R1,2013,2013,30 years,30,40934
,Census Region 1: Northeast,CENS-R1,2013,2013,31 years,31,41789
,Census Region 1: Northeast,CENS-R1,2013,2013,32 years,32,39634
,Census Region 1: Northeast,CENS-R1,2013,2013,33 years,33,36684
,Census Region 1: Northeast,CENS-R1,2013,2013,34 years,34,33102
,Census Region 1: Northeast,CENS-R1,2013,2013,35 years,35,28700
,Census Region 1: Northeast,CENS-R1,2013,2013,36 years,36,24033
,Census Region 1: Northeast,CENS-R1,2013,2013,37 years,37,19249
,Census Region 1: Northeast,CENS-R1,2013,2013,38 years,38,15333
,Census Region 1: Northeast,CENS-R1,2013,2013,39 years,39,11801
,Census Region 1: Northeast,CENS-R1,2013,2013,40 years,40,8720
,Census Region 1: Northeast,CENS-R1,2013,2013,41 years,41,6377
,Census Region 1: Northeast,CENS-R1,2013,2013,42 years,42,4256
,Census Region 1: Northeast,CENS-R1,2013,2013,43 years,43,2595
,Census Region 1: Northeast,CENS-R1,2013,2013,44 years,44,1425
,Census Region 1: Northeast,CENS-R1,2013,2013,45 years,45,871
,Census Region 1: Northeast,CENS-R1,2013,2013,46 years,46,461
,Census Region 1: Northeast,CENS-R1,2013,2013,47 years,47,262
,Census Region 1: Northeast,CENS-R1,2013,2013,48 years,48,161
,Census Region 1: Northeast,CENS-R1,2013,2013,49 years,49,94
,Census Region 1: Northeast,CENS-R1,2014,2014,13 years,13,41
,Census Region 1: Northeast,CENS-R1,2014,2014,14 years,14,245
,Census Region 1: Northeast,CENS-R1,2014,2014,15 years,15,844
,Census Region 1: Northeast,CENS-R1,2014,2014,16 years,16,2227
,Census Region 1: Northeast,CENS-R1,2014,2014,17 years,17,4060
,Census Region 1: Northeast,CENS-R1,2014,2014,18 years,18,7582
,Census Region 1: Northeast,CENS-R1,2014,2014,19 years,19,12671
,Census Region 1: Northeast,CENS-R1,2014,2014,20 years,20,16386
,Census Region 1: Northeast,CENS-R1,2014,2014,21 years,21,19380
,Census Region 1: Northeast,CENS-R1,2014,2014,22 years,22,22565
,Census Region 1: Northeast,CENS-R1,2014,2014,23 years,23,24650
,Census Region 1: Northeast,CENS-R1,2014,2014,24 years,24,27081
,Census Region 1: Northeast,CENS-R1,2014,2014,25 years,25,29090
,Census Region 1: Northeast,CENS-R1,2014,2014,26 years,26,31155
,Census Region 1: Northeast,CENS-R1,2014,2014,27 years,27,34139
,Census Region 1: Northeast,CENS-R1,2014,2014,28 years,28,37430
,Census Region 1: Northeast,CENS-R1,2014,2014,29 years,29,39925
,Census Region 1: Northeast,CENS-R1,2014,2014,30 years,30,41497
,Census Region 1: Northeast,CENS-R1,2014,2014,31 years,31,42698
,Census Region 1: Northeast,CENS-R1,2014,2014,32 years,32,41020
,Census Region 1: Northeast,CENS-R1,2014,2014,33 years,33,37933
,Census Region 1: Northeast,CENS-R1,2014,2014,34 years,34,34367
,Census Region 1: Northeast,CENS-R1,2014,2014,35 years,35,29952
,Census Region 1: Northeast,CENS-R1,2014,2014,36 years,36,24973
,Census Region 1: Northeast,CENS-R1,2014,2014,37 years,37,19770
,Census Region 1: Northeast,CENS-R1,2014,2014,38 years,38,15611
,Census Region 1: Northeast,CENS-R1,2014,2014,39 years,39,12028
,Census Region 1: Northeast,CENS-R1,2014,2014,40 years,40,8917
,Census Region 1: Northeast,CENS-R1,2014,2014,41 years,41,6058
,Census Region 1: Northeast,CENS-R1,2014,2014,42 years,42,4141
,Census Region 1: Northeast,CENS-R1,2014,2014,43 years,43,2555
,Census Region 1: Northeast,CENS-R1,2014,2014,44 years,44,1511
,Census Region 1: Northeast,CENS-R1,2014,2014,45 years,45,831
,Census Region 1: Northeast,CENS-R1,2014,2014,46 years,46,469
,Census Region 1: Northeast,CENS-R1,2014,2014,47 years,47,241
,Census Region 1: Northeast,CENS-R1,2014,2014,48 years,48,156
,Census Region 1: Northeast,CENS-R1,2014,2014,49 years,49,103
,Census Region 1: Northeast,CENS-R1,2015,2015,13 years,13,43
,Census Region 1: Northeast,CENS-R1,2015,2015,14 years,14,191
,Census Region 1: Northeast,CENS-R1,2015,2015,15 years,15,866
,Census Region 1: Northeast,CENS-R1,2015,2015,16 years,16,1989
,Census Region 1: Northeast,CENS-R1,2015,2015,17 years,17,3671
,Census Region 1: Northeast,CENS-R1,2015,2015,18 years,18,6740
,Census Region 1: Northeast,CENS-R1,2015,2015,19 years,19,11514
,Census Region 1: Northeast,CENS-R1,2015,2015,20 years,20,15464
,Census Region 1: Northeast,CENS-R1,2015,2015,21 years,21,18124
,Census Region 1: Northeast,CENS-R1,2015,2015,22 years,22,21447
,Census Region 1: Northeast,CENS-R1,2015,2015,23 years,23,23775
,Census Region 1: Northeast,CENS-R1,2015,2015,24 years,24,26110
,Census Region 1: Northeast,CENS-R1,2015,2015,25 years,25,28903
,Census Region 1: Northeast,CENS-R1,2015,2015,26 years,26,31589
,Census Region 1: Northeast,CENS-R1,2015,2015,27 years,27,33646
,Census Region 1: Northeast,CENS-R1,2015,2015,28 years,28,36702
,Census Region 1: Northeast,CENS-R1,2015,2015,29 years,29,39735
,Census Region 1: Northeast,CENS-R1,2015,2015,30 years,30,42073
,Census Region 1: Northeast,CENS-R1,2015,2015,31 years,31,41827
,Census Region 1: Northeast,CENS-R1,2015,2015,32 years,32,41183
,Census Region 1: Northeast,CENS-R1,2015,2015,33 years,33,38731
,Census Region 1: Northeast,CENS-R1,2015,2015,34 years,34,34940
,Census Region 1: Northeast,CENS-R1,2015,2015,35 years,35,31019
,Census Region 1: Northeast,CENS-R1,2015,2015,36 years,36,25996
,Census Region 1: Northeast,CENS-R1,2015,2015,37 years,37,20317
,Census Region 1: Northeast,CENS-R1,2015,2015,38 years,38,16244
,Census Region 1: Northeast,CENS-R1,2015,2015,39 years,39,12323
,Census Region 1: Northeast,CENS-R1,2015,2015,40 years,40,9131
,Census Region 1: Northeast,CENS-R1,2015,2015,41 years,41,6240
,Census Region 1: Northeast,CENS-R1,2015,2015,42 years,42,4015
,Census Region 1: Northeast,CENS-R1,2015,2015,43 years,43,2503
,Census Region 1: Northeast,CENS-R1,2015,2015,44 years,44,1524
,Census Region 1: Northeast,CENS-R1,2015,2015,45 years,45,842
,Census Region 1: Northeast,CENS-R1,2015,2015,46 years,46,473
,Census Region 1: Northeast,CENS-R1,2015,2015,47 years,47,265
,Census Region 1: Northeast,CENS-R1,2015,2015,48 years,48,158
,Census Region 1: Northeast,CENS-R1,2015,2015,49 years,49,107
,Census Region 2: Midwest,CENS-R2,2007,2007,13 years,13,153
,Census Region 2: Midwest,CENS-R2,2007,2007,14 years,14,985
,Census Region 2: Midwest,CENS-R2,2007,2007,15 years,15,3383
,Census Region 2: Midwest,CENS-R2,2007,2007,16 years,16,8272
,Census Region 2: Midwest,CENS-R2,2007,2007,17 years,17,15525
,Census Region 2: Midwest,CENS-R2,2007,2007,18 years,18,25804
,Census Region 2: Midwest,CENS-R2,2007,2007,19 years,19,36559
,Census Region 2: Midwest,CENS-R2,2007,2007,20 years,20,40850
,Census Region 2: Midwest,CENS-R2,2007,2007,21 years,21,43283
,Census Region 2: Midwest,CENS-R2,2007,2007,22 years,22,45942
,Census Region 2: Midwest,CENS-R2,2007,2007,23 years,23,47133
,Census Region 2: Midwest,CENS-R2,2007,2007,24 years,24,49479
,Census Region 2: Midwest,CENS-R2,2007,2007,25 years,25,52374
,Census Region 2: Midwest,CENS-R2,2007,2007,26 years,26,55005
,Census Region 2: Midwest,CENS-R2,2007,2007,27 years,27,56154
,Census Region 2: Midwest,CENS-R2,2007,2007,28 years,28,54788
,Census Region 2: Midwest,CENS-R2,2007,2007,29 years,29,53237
,Census Region 2: Midwest,CENS-R2,2007,2007,30 years,30,49919
,Census Region 2: Midwest,CENS-R2,2007,2007,31 years,31,45008
,Census Region 2: Midwest,CENS-R2,2007,2007,32 years,32,41103
,Census Region 2: Midwest,CENS-R2,2007,2007,33 years,33,35046
,Census Region 2: Midwest,CENS-R2,2007,2007,34 years,34,31121
,Census Region 2: Midwest,CENS-R2,2007,2007,35 years,35,27609
,Census Region 2: Midwest,CENS-R2,2007,2007,36 years,36,24334
,Census Region 2: Midwest,CENS-R2,2007,2007,37 years,37,19097
,Census Region 2: Midwest,CENS-R2,2007,2007,38 years,38,14061
,Census Region 2: Midwest,CENS-R2,2007,2007,39 years,39,10321
,Census Region 2: Midwest,CENS-R2,2007,2007,40 years,40,7321
,Census Region 2: Midwest,CENS-R2,2007,2007,41 years,41,4914
,Census Region 2: Midwest,CENS-R2,2007,2007,42 years,42,3257
,Census Region 2: Midwest,CENS-R2,2007,2007,43 years,43,1927
,Census Region 2: Midwest,CENS-R2,2007,2007,44 years,44,1034
,Census Region 2: Midwest,CENS-R2,2007,2007,45 years,45,571
,Census Region 2: Midwest,CENS-R2,2007,2007,46 years,46,314
,Census Region 2: Midwest,CENS-R2,2007,2007,47 years,47,142
,Census Region 2: Midwest,CENS-R2,2007,2007,48 years,48,72
,Census Region 2: Midwest,CENS-R2,2007,2007,49 years,49,39
,Census Region 2: Midwest,CENS-R2,2008,2008,13 years,13,158
,Census Region 2: Midwest,CENS-R2,2008,2008,14 years,14,878
,Census Region 2: Midwest,CENS-R2,2008,2008,15 years,15,3111
,Census Region 2: Midwest,CENS-R2,2008,2008,16 years,16,7767
,Census Region 2: Midwest,CENS-R2,2008,2008,17 years,17,15164
,Census Region 2: Midwest,CENS-R2,2008,2008,18 years,18,25417
,Census Region 2: Midwest,CENS-R2,2008,2008,19 years,19,35896
,Census Region 2: Midwest,CENS-R2,2008,2008,20 years,20,39987
,Census Region 2: Midwest,CENS-R2,2008,2008,21 years,21,41136
,Census Region 2: Midwest,CENS-R2,2008,2008,22 years,22,45167
,Census Region 2: Midwest,CENS-R2,2008,2008,23 years,23,46196
,Census Region 2: Midwest,CENS-R2,2008,2008,24 years,24,48167
,Census Region 2: Midwest,CENS-R2,2008,2008,25 years,25,51067
,Census Region 2: Midwest,CENS-R2,2008,2008,26 years,26,53023
,Census Region 2: Midwest,CENS-R2,2008,2008,27 years,27,55043
,Census Region 2: Midwest,CENS-R2,2008,2008,28 years,28,56122
,Census Region 2: Midwest,CENS-R2,2008,2008,29 years,29,53078
,Census Region 2: Midwest,CENS-R2,2008,2008,30 years,30,50042
,Census Region 2: Midwest,CENS-R2,2008,2008,31 years,31,45883
,Census Region 2: Midwest,CENS-R2,2008,2008,32 years,32,39987
,Census Region 2: Midwest,CENS-R2,2008,2008,33 years,33,35615
,Census Region 2: Midwest,CENS-R2,2008,2008,34 years,34,30492
,Census Region 2: Midwest,CENS-R2,2008,2008,35 years,35,26068
,Census Region 2: Midwest,CENS-R2,2008,2008,36 years,36,22353
,Census Region 2: Midwest,CENS-R2,2008,2008,37 years,37,18629
,Census Region 2: Midwest,CENS-R2,2008,2008,38 years,38,14310
,Census Region 2: Midwest,CENS-R2,2008,2008,39 years,39,10637
,Census Region 2: Midwest,CENS-R2,2008,2008,40 years,40,7344
,Census Region 2: Midwest,CENS-R2,2008,2008,41 years,41,4954
,Census Region 2: Midwest,CENS-R2,2008,2008,42 years,42,3130
,Census Region 2: Midwest,CENS-R2,2008,2008,43 years,43,1931
